,Metric,Algorithm,Value,Dataset_Size,Technique
0,Accuracy,ZeroR,0.7564282374941561,df_2k,holdout
1,Accuracy,ZeroR,0.6842,df_5k,holdout
2,Accuracy,ZeroR,0.6912666666666667,df_15k,holdout
3,Accuracy,ZeroR,0.68988,df_50k,holdout
4,Accuracy,OneR,0.7564282374941561,df_2k,holdout
5,Accuracy,OneR,0.6842,df_5k,holdout
6,Accuracy,OneR,0.6912666666666667,df_15k,holdout
7,Accuracy,OneR,0.68988,df_50k,holdout
8,Accuracy,Decision Tree,0.8387850467289719,df_2k,holdout
9,Accuracy,Decision Tree,0.621,df_5k,holdout
10,Accuracy,Decision Tree,0.6103333333333333,df_15k,holdout
11,Accuracy,Decision Tree,0.6113,df_50k,holdout
12,Precision,Decision Tree,0.6818181818181818,df_2k,holdout
13,Precision,Decision Tree,0.422360248447205,df_5k,holdout
14,Precision,Decision Tree,0.3651911468812877,df_15k,holdout
15,Precision,Decision Tree,0.3778125,df_50k,holdout
16,Recall,Decision Tree,0.6880733944954128,df_2k,holdout
17,Recall,Decision Tree,0.4133738601823708,df_5k,holdout
18,Recall,Decision Tree,0.4028856825749167,df_15k,holdout
19,Recall,Decision Tree,0.3893719806763285,df_50k,holdout
20,Accuracy,Decision Tree,0.8424290290026765,df_2k,crossValidation
21,Accuracy,Decision Tree,0.6083999999999999,df_5k,crossValidation
22,Accuracy,Decision Tree,0.6142,df_15k,crossValidation
23,Accuracy,Decision Tree,0.60944,df_50k,crossValidation
24,Precision,Decision Tree,0.6830837752706383,df_2k,crossValidation
25,Precision,Decision Tree,0.3856318932412018,df_5k,crossValidation
26,Precision,Decision Tree,0.3785801583008051,df_15k,crossValidation
27,Precision,Decision Tree,0.3752913933583112,df_50k,crossValidation
28,Recall,Decision Tree,0.6742539104428846,df_2k,crossValidation
29,Recall,Decision Tree,0.4021828650734477,df_5k,crossValidation
30,Recall,Decision Tree,0.3900703614108066,df_15k,crossValidation
31,Recall,Decision Tree,0.3902106513602077,df_50k,crossValidation
32,Accuracy,GradientBoosting,0.8878504672897196,df_2k,holdout
33,Accuracy,GradientBoosting,0.702,df_5k,holdout
34,Accuracy,GradientBoosting,0.6933333333333334,df_15k,holdout
35,Accuracy,GradientBoosting,0.7029,df_50k,holdout
36,Precision,GradientBoosting,0.8192771084337349,df_2k,holdout
37,Precision,GradientBoosting,0.52,df_5k,holdout
38,Precision,GradientBoosting,0.5229885057471264,df_15k,holdout
39,Precision,GradientBoosting,0.5663140764849471,df_50k,holdout
40,Recall,GradientBoosting,0.6732673267326733,df_2k,holdout
41,Recall,GradientBoosting,0.2565789473684211,df_5k,holdout
42,Recall,GradientBoosting,0.1944444444444444,df_15k,holdout
43,Recall,GradientBoosting,0.2220804084237396,df_50k,holdout
44,Accuracy,GradientBoosting,0.8938616120398404,df_2k,crossValidation
45,Accuracy,GradientBoosting,0.6978,df_5k,crossValidation
46,Accuracy,GradientBoosting,0.7074666666666667,df_15k,crossValidation
47,Accuracy,GradientBoosting,0.7082999999999999,df_50k,crossValidation
48,Precision,GradientBoosting,0.8183394675618928,df_2k,crossValidation
49,Precision,GradientBoosting,0.5496014534016868,df_5k,crossValidation
50,Precision,GradientBoosting,0.5680044238861426,df_15k,crossValidation
51,Precision,GradientBoosting,0.5775627657996324,df_50k,crossValidation
52,Recall,GradientBoosting,0.7286184545529862,df_2k,crossValidation
53,Recall,GradientBoosting,0.2535237964844439,df_5k,crossValidation
54,Recall,GradientBoosting,0.2186467807519139,df_15k,crossValidation
55,Recall,GradientBoosting,0.2214618505073904,df_50k,crossValidation
56,Accuracy,KNN3,0.8014018691588785,df_2k,holdout
57,Accuracy,KNN3,0.644,df_5k,holdout
58,Accuracy,KNN3,0.647,df_15k,holdout
59,Accuracy,KNN3,0.6494,df_50k,holdout
60,Precision,KNN3,0.6666666666666666,df_2k,holdout
61,Precision,KNN3,0.4436090225563909,df_5k,holdout
62,Precision,KNN3,0.4013605442176871,df_15k,holdout
63,Precision,KNN3,0.4043973301923832,df_50k,holdout
64,Recall,KNN3,0.4545454545454545,df_2k,holdout
65,Recall,KNN3,0.3619631901840491,df_5k,holdout
66,Recall,KNN3,0.3227571115973742,df_15k,holdout
67,Recall,KNN3,0.3411725736999006,df_50k,holdout
68,Accuracy,KNN5,0.794392523364486,df_2k,holdout
69,Accuracy,KNN5,0.649,df_5k,holdout
70,Accuracy,KNN5,0.677,df_15k,holdout
71,Accuracy,KNN5,0.6627,df_50k,holdout
72,Precision,KNN5,0.6666666666666666,df_2k,holdout
73,Precision,KNN5,0.430327868852459,df_5k,holdout
74,Precision,KNN5,0.4546850998463901,df_15k,holdout
75,Precision,KNN5,0.4338737201365187,df_50k,holdout
76,Recall,KNN5,0.3396226415094339,df_2k,holdout
77,Recall,KNN5,0.3312302839116719,df_5k,holdout
78,Recall,KNN5,0.3252747252747253,df_15k,holdout
79,Recall,KNN5,0.3320274240940254,df_50k,holdout
80,Accuracy,KNN7,0.7990654205607477,df_2k,holdout
81,Accuracy,KNN7,0.671,df_5k,holdout
82,Accuracy,KNN7,0.6663333333333333,df_15k,holdout
83,Accuracy,KNN7,0.6678,df_50k,holdout
84,Precision,KNN7,0.7391304347826086,df_2k,holdout
85,Precision,KNN7,0.45,df_5k,holdout
86,Precision,KNN7,0.4221854304635761,df_15k,holdout
87,Precision,KNN7,0.4394749635391347,df_50k,holdout
88,Recall,KNN7,0.3148148148148148,df_2k,holdout
89,Recall,KNN7,0.3224755700325732,df_5k,holdout
90,Recall,KNN7,0.2811466372657111,df_15k,holdout
91,Recall,KNN7,0.2941750732183534,df_50k,holdout
92,Accuracy,KNN9,0.8271028037383178,df_2k,holdout
93,Accuracy,KNN9,0.657,df_5k,holdout
94,Accuracy,KNN9,0.6793333333333333,df_15k,holdout
95,Accuracy,KNN9,0.6828,df_50k,holdout
96,Precision,KNN9,0.6666666666666666,df_2k,holdout
97,Precision,KNN9,0.4550898203592814,df_5k,holdout
98,Precision,KNN9,0.4751491053677932,df_15k,holdout
99,Precision,KNN9,0.4613831398283695,df_50k,holdout
100,Recall,KNN9,0.3736263736263736,df_2k,holdout
101,Recall,KNN9,0.2317073170731707,df_5k,holdout
102,Recall,KNN9,0.2550693703308431,df_15k,holdout
103,Recall,KNN9,0.302749254720106,df_50k,holdout
104,Accuracy,KNN11,0.7733644859813084,df_2k,holdout
105,Accuracy,KNN11,0.652,df_5k,holdout
106,Accuracy,KNN11,0.6886666666666666,df_15k,holdout
107,Accuracy,KNN11,0.6682,df_50k,holdout
108,Precision,KNN11,0.6428571428571429,df_2k,holdout
109,Precision,KNN11,0.4646464646464646,df_5k,holdout
110,Precision,KNN11,0.5091911764705882,df_15k,holdout
111,Precision,KNN11,0.4606299212598425,df_50k,holdout
112,Recall,KNN11,0.1714285714285714,df_2k,holdout
113,Recall,KNN11,0.2754491017964072,df_5k,holdout
114,Recall,KNN11,0.2934322033898305,df_15k,holdout
115,Recall,KNN11,0.2577092511013216,df_50k,holdout
116,Accuracy,KNN13,0.7990654205607477,df_2k,holdout
117,Accuracy,KNN13,0.653,df_5k,holdout
118,Accuracy,KNN13,0.678,df_15k,holdout
119,Accuracy,KNN13,0.6818,df_50k,holdout
120,Precision,KNN13,0.75,df_2k,holdout
121,Precision,KNN13,0.4468085106382978,df_5k,holdout
122,Precision,KNN13,0.4742489270386266,df_15k,holdout
123,Precision,KNN13,0.4686601495112133,df_50k,holdout
124,Recall,KNN13,0.3055555555555556,df_2k,holdout
125,Recall,KNN13,0.2568807339449541,df_5k,holdout
126,Recall,KNN13,0.2346072186836518,df_15k,holdout
127,Recall,KNN13,0.2652131467621217,df_50k,holdout
128,Accuracy,KNN15,0.8130841121495327,df_2k,holdout
129,Accuracy,KNN15,0.668,df_5k,holdout
130,Accuracy,KNN15,0.6713333333333333,df_15k,holdout
131,Accuracy,KNN15,0.6848,df_50k,holdout
132,Precision,KNN15,0.6923076923076923,df_2k,holdout
133,Precision,KNN15,0.4722222222222222,df_5k,holdout
134,Precision,KNN15,0.4451476793248945,df_15k,holdout
135,Precision,KNN15,0.4644522144522144,df_50k,holdout
136,Recall,KNN15,0.2842105263157894,df_2k,holdout
137,Recall,KNN15,0.2639751552795031,df_5k,holdout
